Unnamed: 0,year,make,model,price,mileage,Miles per gallon,Transmission,owner,VIN,class,Auction Brand / Issues,Accident / Damage,Open Recall Check,Odometer Check,Certified Pre-Owned,cylinders,fuel,Drive type,Miles per gallon equivalent (MPGe),Range (when new),Time to fully charge battery (240V),Motor,Bed Length,exterior_color,interior_color,city_mpg,hwy_mpg,accident_encoded,fuel_encoded,drive_type_encoded
1,2017,Subaru,Forester 2.5I,16998,79000,22 city/28 hwy,Manual 6 Speed,1.0,JF2SJAACXHG452398,CUV - Midsize,No Issue,Moderate,1.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Silver,Gray,22,28,3,1,0
2,2020,Subaru,Impreza ,18998,43000,28 city/36 hwy,Automatic,1.0,4S3GKAB64L3608865,Car - Midsize,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Blue,Black,28,36,5,1,0
3,2016,Subaru,Legacy 2.5I,14998,91000,26 city/36 hwy,Automatic,3.0,4S3BNAA63G3004121,Car - Midsize,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Black,26,36,5,1,0
4,2021,Subaru,Crosstrek Premium,24998,53000,28 city/33 hwy,Automatic,1.0,JF2GTAEC8MH670080,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Black,Black,28,33,5,1,0
5,2017,Subaru,Crosstrek Premium,16998,102000,26 city/33 hwy,Automatic,2.0,JF2GPABC9H8207377,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Black,Black,26,33,5,1,0
7,2021,Subaru,Forester Touring,29998,26000,26 city/33 hwy,Automatic,1.0,JF2SKAXC2MH535221,CUV - Midsize,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,White,Black,26,33,5,1,0
9,2023,Subaru,Crosstrek ,25998,18000,28 city/33 hwy,Automatic,1.0,JF2GTABC5PH293121,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Silver,Black,28,33,5,1,0
10,2018,Subaru,Impreza Sport,19998,47000,27 city/35 hwy,Automatic,2.0,4S3GTAM64J3711582,Car - Compact,No Issue,No Issue,1.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Black,27,35,5,1,0
11,2021,Subaru,Forester Premium,25998,22000,26 city/33 hwy,Automatic,1.0,JF2SKAFC0MH568591,CUV - Midsize,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Black,26,33,5,1,0
12,2018,Subaru,Impreza Sport,18998,53000,23 city/31 hwy,Manual 5 Speed,2.0,4S3GKAK62J1616908,Car - Midsize,No Issue,No Issue,1.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Red,Black,23,31,5,1,0
13,2024,Subaru,Ascent Limited,40998,1000,19 city/25 hwy,Automatic,1.0,4S4WMAUD1R3438499,CUV - Large,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Turbo Gas,All Wheel Drive,,,,non-electric,,Silver,Black,19,25,5,6,0
14,2017,Subaru,Crosstrek Premium,17998,95000,26 city/33 hwy,Automatic,3.0,JF2GPADCXH8261221,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,White,Tan,26,33,5,1,0
15,2022,Subaru,Legacy Limited,24998,38000,27 city/35 hwy,Automatic,1.0,4S3BWAN63N3007377,Car - Midsize,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Black,27,35,5,1,0
16,2023,Subaru,Impreza Sport,24998,24000,27 city/35 hwy,Automatic,1.0,4S3GTAM68P3711626,Car - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Silver,Black,27,35,5,1,0
17,2018,Subaru,Impreza 2.0I Premium,17998,67000,28 city/37 hwy,Automatic,1.0,4S3GTAB63J3719160,Car - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Black,28,37,5,1,0
18,2016,Subaru,Impreza 2.0I Sport Premium,13998,120000,27 city/36 hwy,Automatic,3.0,JF1GPAP66G8241959,Car - Compact,No Issue,Damage Reported,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Black,27,36,0,1,0
19,2021,Subaru,Ascent Limited,27998,61000,20 city/26 hwy,Automatic,2.0,4S4WMAPD2M3400140,CUV - Large,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Turbo Gas,All Wheel Drive,,,,non-electric,,Brown,Tan,20,26,5,6,0
20,2023,Subaru,Crosstrek ,20998,88000,22 city/29 hwy,Manual 6 Speed,1.0,JF2GTAAC4P9295325,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,White,Black,22,29,5,1,0
21,2022,Subaru,Crosstrek Sport,27998,22000,27 city/34 hwy,Automatic,1.0,JF2GTHSC1NH258551,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Black,Gray,27,34,5,1,0
22,2023,Subaru,Forester Touring,34998,5000,26 city/33 hwy,Automatic,1.0,JF2SKARC2PH522308,CUV - Midsize,No Issue,Damage Reported,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Silver,Black,26,33,0,1,0
23,2022,Subaru,Outback ,25998,22000,26 city/33 hwy,Automatic,1.0,4S4BTAAC4N3136938,CUV - Midsize,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Black,26,33,5,1,0
24,2019,Subaru,Ascent Premium,21998,72000,21 city/27 hwy,Automatic,2.0,4S4WMAFD7K3427137,CUV - Large,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Turbo Gas,All Wheel Drive,,,,non-electric,,Gray,Black,21,27,5,6,0
25,2014,Subaru,Impreza WRX Premium,22998,63000,19 city/25 hwy,Manual 5 Speed,1.0,JF1GR7E68EG222607,Car - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Turbo Gas,All Wheel Drive,,,,non-electric,,Blue,Black,19,25,5,6,0
26,2019,Subaru,Impreza 2.0I Premium,16998,77000,28 city/38 hwy,Automatic,2.0,4S3GKAC67K3628637,Car - Midsize,No Issue,Minor,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Black,28,38,1,1,0
28,2018,Subaru,Crosstrek ,17998,93000,23 city/29 hwy,Manual 6 Speed,2.0,JF2GTAAC7J9336005,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Blue,Black,23,29,5,1,0
29,2017,Subaru,Forester 2.5I Premium,15998,104000,26 city/32 hwy,Automatic,6.0,JF2SJAGC2HH483727,CUV - Midsize,No Issue,Minor,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Black,Black,26,32,1,1,0
30,2018,Subaru,Forester 2.0XT  Touring,21998,60000,23 city/27 hwy,Automatic,3.0,JF2SJGWC9JH573807,CUV - Midsize,No Issue,Damage Reported,0.0,No Issue,No CPO Info Available,4.0,Turbo Gas,All Wheel Drive,,,,non-electric,,Blue,Black,23,27,0,6,0
31,2021,Subaru,Crosstrek Premium,22998,60000,28 city/33 hwy,Automatic,2.0,JF2GTAEC5M8388270,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Gray,28,33,5,1,0
33,2018,Subaru,Forester 2.5I Premium,16998,107000,26 city/32 hwy,Automatic,2.0,JF2SJAGC4JH428282,CUV - Midsize,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Blue,Gray,26,32,5,1,0
35,2021,Subaru,Outback Limited,26998,39000,26 city/33 hwy,Automatic,2.0,4S4BTAMC3M3154910,CUV - Midsize,No Issue,No Issue,1.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,White,Black,26,33,5,1,0
37,2013,Subaru,XV Crosstrek Premium,14998,100000,25 city/33 hwy,Automatic,2.0,JF2GPACC1DH855191,CUV - Compact,No Issue,No Issue,2.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,White,Tan,25,33,5,1,0
38,2021,Subaru,Outback Limited,25998,52000,26 city/33 hwy,Automatic,2.0,4S4BTANC1M3111908,CUV - Midsize,No Issue,No Issue,1.0,No Issue,No Recent CPO Reported,4.0,Gas,All Wheel Drive,,,,non-electric,,Green,Black,26,33,5,1,0
39,2019,Subaru,Forester 2.5I Sport,22998,77000,26 city/33 hwy,Automatic,1.0,JF2SKAJC7KH561206,CUV - Midsize,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Silver,Gray,26,33,5,1,0
40,2017,Subaru,Outback 3.6R Limited,22998,63000,20 city/27 hwy,Automatic,1.0,4S4BSENC9H3399726,CUV - Midsize,No Issue,No Issue,1.0,No Issue,No CPO Info Available,6.0,Gas,All Wheel Drive,,,,non-electric,,Tan,Tan,20,27,5,1,0
41,2019,Subaru,Crosstrek Premium,16998,114000,27 city/33 hwy,Automatic,1.0,JF2GTADC7K8354958,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Black,Gray,27,33,5,1,0
42,2015,Subaru,Outback Premium,18998,69000,25 city/33 hwy,Automatic,2.0,4S4BSBHC6F3266509,CUV - Midsize,No Issue,Minor,1.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Blue,Tan,25,33,1,1,0
43,2017,Subaru,Impreza 2.0I Premium,17998,60000,28 city/37 hwy,Automatic,1.0,4S3GTAB64H3720781,Car - Compact,No Issue,Minor,5.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Black,Taupe,28,37,1,1,0
44,2017,Subaru,Impreza Sport,19998,52000,27 city/35 hwy,Automatic,2.0,4S3GTAK60H3721703,Car - Compact,No Issue,Damage Reported,1.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,White,Black,27,35,0,1,0
45,2024,Subaru,Crosstrek Premium,28998,4000,27 city/34 hwy,Automatic,1.0,JF2GUADC7RH228011,CUV - Compact,No Issue,No Issue,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Silver,Black,27,34,5,1,0
46,2019,Subaru,Ascent Touring,28998,61000,20 city/26 hwy,Automatic,3.0,4S4WMARD0K3412555,CUV - Large,No Issue,No Issue,0.0,No Issue,OEM-Certified,4.0,Turbo Gas,All Wheel Drive,,,,non-electric,,White,Brown,20,26,5,6,0
47,2015,Subaru,Forester 2.5I Limited,14998,103000,24 city/32 hwy,Automatic,3.0,JF2SJAKC7FH510179,CUV - Midsize,No Issue,No Issue,1.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Green,Gray,24,32,5,1,0
48,2018,Subaru,Forester 2.5I Premium,20998,44000,26 city/32 hwy,Automatic,1.0,JF2SJAGC6JH602174,CUV - Midsize,No Issue,Damage Reported,0.0,No Issue,No CPO Info Available,4.0,Gas,All Wheel Drive,,,,non-electric,,Gray,Gray,26,32,0,1,0
