Brand,MAE,RMSE
Acura,1552.961497948591,1922.742638765248
Chrysler,1737.5694755464788,2363.910252036298
Honda,918.8857232462615,1187.1533761855544
Hyundai,809.1138927266002,978.8891038349234
Infiniti,2836.2826779484753,3482.490416838192
Jeep,1353.1609743563458,1441.9112231358936
Kia,1381.4025379731074,1543.2431944069658
Land,2385.794891354939,2968.387484356124
Lexus,3876.625100523234,4912.401961019832
Lincoln,2471.4629367701714,3411.750137117908
Mercedes-Benz,6006.617998704313,7612.994541468648
Mini,703.2694610570161,750.5480503965931
Mitsubishi,932.1835459172721,1234.6171477161108
Porsche,2215.941498676935,2732.2904867374777
Tesla,678.4540562722318,840.6794956172134
Volvo,1560.1112133421007,2004.1770607215144
Buick,879.0360786558849,1070.9073106824571
Cadillac,2671.798339256874,3201.1162303923243
Chevrolet,3344.1134044071655,3711.7209263636
Ford,1962.8004795626434,2162.6305450863206
GMC,1713.0864876939186,2205.2223563259595
Mazda,1080.885738134385,1404.2819936369885
Nissan,1456.0638508473826,1925.5638229582007
Ram,3823.3728686879786,5206.431634883931
Subaru,1344.7689402706633,1483.9897484493629
Toyota,1603.8341288765264,1842.8734152856862
Volkswagen,866.0294924810532,1102.1108925793994
Audi,1572.3017862377078,1839.0702826911834
BMW,2560.0883837789297,2868.8520741299103
Dodge,3097.9212249318757,3369.5000439698133
Jaguar,1269.3593275445678,1565.0281795879068
