year,make,model,price,mileage,miles_per_gallon,transmission,owners,VIN,class,is_auction,accidents,open_recalls,has_odometer_issue,certification,cylinders,fuel,drive_type,miles_per_gallon_equivalent,range_when_new,time_to_fully_charge,is_electric,bed_length,exterior_color,interior_color
2015,Subaru,Outback Limited,16998,92000,25 city/32 hwy,Automatic,2,4S4BSANC4F3279791,CUV - Midsize,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,,,,,,,non-electric,,Silver,Black
2017,Subaru,Forester 2.5I,16998,79000,22 city/28 hwy,Manual 6 Speed,1,JF2SJAACXHG452398,CUV - Midsize,No Issue,Moderate,1 Open Recall(s),No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Silver,Gray
2020,Subaru,Impreza ,18998,43000,28 city/36 hwy,Automatic,1,4S3GKAB64L3608865,Car - Midsize,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Blue,Black
2016,Subaru,Legacy 2.5I,14998,91000,26 city/36 hwy,Automatic,3,4S3BNAA63G3004121,Car - Midsize,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2021,Subaru,Crosstrek Premium,24998,53000,28 city/33 hwy,Automatic,1,JF2GTAEC8MH670080,CUV - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Black,Black
2017,Subaru,Crosstrek Premium,16998,102000,26 city/33 hwy,Automatic,2,JF2GPABC9H8207377,CUV - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Black,Black
2023,Subaru,Forester Premium,29998,16000,26 city/33 hwy,Automatic,1,JF2SKAEC9PH421806,CUV - Midsize,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,,,,,,,non-electric,,Black,Black
2021,Subaru,Forester Touring,29998,26000,26 city/33 hwy,Automatic,1,JF2SKAXC2MH535221,CUV - Midsize,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,White,Black
2022,Subaru,Ascent Onyx Edition,33998,36000,20 city/26 hwy,Automatic,2,4S4WMAJD5N3422630,CUV - Large,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,,,,,,,non-electric,,White,Gray
2023,Subaru,Crosstrek ,25998,18000,28 city/33 hwy,Automatic,1,JF2GTABC5PH293121,CUV - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Silver,Black
2018,Subaru,Impreza Sport,19998,47000,27 city/35 hwy,Automatic,2,4S3GTAM64J3711582,Car - Compact,No Issue,No Issue,1 Open Recall(s),No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2021,Subaru,Forester Premium,25998,22000,26 city/33 hwy,Automatic,1,JF2SKAFC0MH568591,CUV - Midsize,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2018,Subaru,Impreza Sport,18998,53000,23 city/31 hwy,Manual 5 Speed,2,4S3GKAK62J1616908,Car - Midsize,No Issue,No Issue,1 Open Recall(s),No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Red,Black
2024,Subaru,Ascent Limited,40998,1000,19 city/25 hwy,Automatic,1,4S4WMAUD1R3438499,CUV - Large,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Turbo Gas,All Wheel Drive,,,,non-electric,,Silver,Black
2017,Subaru,Crosstrek Premium,17998,95000,26 city/33 hwy,Automatic,3,JF2GPADCXH8261221,CUV - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,White,Tan
2022,Subaru,Legacy Limited,24998,38000,27 city/35 hwy,Automatic,1,4S3BWAN63N3007377,Car - Midsize,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2023,Subaru,Impreza Sport,24998,24000,27 city/35 hwy,Automatic,1,4S3GTAM68P3711626,Car - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Silver,Black
2018,Subaru,Impreza 2.0I Premium,17998,67000,28 city/37 hwy,Automatic,1,4S3GTAB63J3719160,Car - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2016,Subaru,Impreza 2.0I Sport Premium,13998,120000,27 city/36 hwy,Automatic,3,JF1GPAP66G8241959,Car - Compact,No Issue,Damage Reported,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2021,Subaru,Ascent Limited,27998,61000,20 city/26 hwy,Automatic,2,4S4WMAPD2M3400140,CUV - Large,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Turbo Gas,All Wheel Drive,,,afjdsaio,non-electric,,Brown,Tan
2023,Subaru,Crosstrek ,20998,88000,22 city/29 hwy,Manual 6 Speed,1,JF2GTAAC4P9295325,CUV - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,White,Black
2022,Subaru,Crosstrek Sport,27998,22000,27 city/34 hwy,Automatic,1,JF2GTHSC1NH258551,CUV - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Black,Gray
2023,Subaru,Forester Touring,34998,5000,26 city/33 hwy,Automatic,1,JF2SKARC2PH522308,CUV - Midsize,No Issue,Damage Reported,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Silver,Black
2022,Subaru,Outback ,25998,22000,26 city/33 hwy,Automatic,1,4S4BTAAC4N3136938,CUV - Midsize,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2019,Subaru,Ascent Premium,21998,72000,21 city/27 hwy,Automatic,2,4S4WMAFD7K3427137,CUV - Large,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Turbo Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2014,Subaru,Impreza WRX Premium,22998,63000,19 city/25 hwy,Manual 5 Speed,1,JF1GR7E68EG222607,Car - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Turbo Gas,All Wheel Drive,,,,non-electric,,Blue,Black
2019,Subaru,Impreza 2.0I Premium,16998,77000,28 city/38 hwy,Automatic,2,4S3GKAC67K3628637,Car - Midsize,No Issue,Minor,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Gray,Black
2020,Subaru,Crosstrek PHEV ,24998,68000,,,1,JF2GTDEC4LH283400,CUV - Compact,No Issue,Minor,1 Open Recall(s),No Issue,No CPO Info Available,4,Plug-in Hybrid,All Wheel Drive,99 city/80 hwy,17 miles,2 hours,non-electric,,Gray,Gray
2018,Subaru,Crosstrek ,17998,93000,23 city/29 hwy,Manual 6 Speed,2,JF2GTAAC7J9336005,CUV - Compact,No Issue,No Issue,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Blue,Black
2017,Subaru,Forester 2.5I Premium,15998,104000,26 city/32 hwy,Automatic,6,JF2SJAGC2HH483727,CUV - Midsize,No Issue,Minor,No Open Recalls,No Issue,No CPO Info Available,4,Gas,All Wheel Drive,,,,non-electric,,Black,Black
