year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,owner,frame_damage,Odometer_problem,VIN,class,State Title Brand,Auction Brand / Issues,Accident / Damage,Open Recall Check,Insurance Loss / Transfer,Odometer Check,Certified Pre-Owned,Service / Repair,Miles per gallon equivalent (MPGe),Range (when new),Time to fully charge battery (240V)
2020,BMW,X5 xDrive40i,44998,34000,20 city/26 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Cream,2 Owners,No flood or frame damage,No odometer problems,5UXCR6C04LLL66787,CUV - Midsize Luxury,Clean,No Issue,Minor,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,X3 XDrive30i,37998,16000,23 city/29 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Brown,2 Owners,No flood or frame damage,No odometer problems,5UXTY5C02M9E20537,CUV - Midsize Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,OEM-Certified,No Issue,,,
2022,BMW,X5 xDrive40i,39998,54000,21 city/25 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,1 Owner,No flood or frame damage,No odometer problems,5UXCR6C03N9K78393,CUV - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2018,BMW,X4 XDrive28i,27998,55000,20 city/28 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,1 Owner,No flood or frame damage,No odometer problems,5UXXW3C51J0T80732,CUV - Compact Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2016,BMW,X3 XDrive28i,18998,65000,21 city/28 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,2 Owners,No flood or frame damage,No odometer problems,5UXWX9C50G0D94080,CUV - Compact Luxury,Clean,No Issue,Moderate,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,330 I xDrive,27998,32000,25 city/34 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,2 Owners,No flood or frame damage,No odometer problems,3MW5R7J0XM8B58292,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2019,BMW,X6 XDrive50i,41998,52000,17 city/22 hwy,8-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,3 Owners,No flood or frame damage,No odometer problems,5UXKU6C53K0Z67078,CUV - Compact Luxury,Clean,No Issue,Damage Reported,No Open Recalls,No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2017,BMW,330 XI,21998,28000,23 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Black,2 Owners,No flood or frame damage,No odometer problems,WBA8D9G38HNU64564,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2015,BMW,X3 XDrive28i,17998,69000,21 city/28 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Gray,1 Owner,No flood or frame damage,No odometer problems,5UXWX9C51F0D61362,CUV - Compact Luxury,Clean,No Issue,Moderate,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2022,BMW,M850 XDrive,65998,21000,17 city/25 hwy,8-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Cream,2 Owners,No flood or frame damage,No odometer problems,WBABC4C03NCH40280,Sport Car - Subcompact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
