year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,owner,frame_damage,Odometer_problem
2019,Lexus,RX 350 F-Sport,32998,55000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Black/Black,1 Owner,No flood or frame damage,No odometer problems
2022,Lexus,NX 350 Luxury,43998,25000,22 city/29 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Red,1 Owner,No flood or frame damage,No odometer problems
2015,Lexus,GX 460 ,24998,108000,15 city/20 hwy,8-cyl,Gas,Four Wheel Drive,Automatic,Gold/Tan,2 Owners,No flood or frame damage,No odometer problems
2015,Lexus,RX 350 ,18998,121000,18 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Black/Brown,2 Owners,No flood or frame damage,No odometer problems
2021,Lexus,GX 460 Premium,46998,16000,15 city/19 hwy,8-cyl,Gas,Four Wheel Drive,Automatic,Silver/Red,1 Owner,No flood or frame damage,No odometer problems
2020,Lexus,NX 300 ,32998,16000,22 city/28 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Tan,1 Owner,No flood or frame damage,No odometer problems
2018,Lexus,NX 300 ,23998,87000,22 city/28 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Red/Black,3 Owners,No flood or frame damage,No odometer problems
2019,Lexus,ES 350 ,28998,45000,22 city/33 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,White/Black,2 Owners,No flood or frame damage,No odometer problems
2021,Lexus,UX 250h ,32998,18000,41 city/38 hwy,4-cyl,Hybrid,All Wheel Drive,Automatic,Black/Black,1 Owner,No flood or frame damage,No odometer problems
2014,Lexus,RX 350 ,19998,86000,18 city/24 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Gold/Tan,2 Owners,No flood or frame damage,No odometer problems
2022,Lexus,RX 350 ,36998,52000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Black/Tan,1 Owner,No flood or frame damage,No odometer problems
2021,Lexus,UX 200 ,27998,28000,29 city/37 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,White/Black,1 Owner,No flood or frame damage,No odometer problems
2022,Lexus,ES 350 F-Sport,42998,5000,22 city/31 hwy,6-cyl,Gas,Front Wheel Drive,Automatic,Silver/Red,1 Owner,No flood or frame damage,No odometer problems
2017,Lexus,GX 460 ,32998,50000,15 city/18 hwy,8-cyl,Gas,Four Wheel Drive,Automatic,Gray/Brown,2 Owners,No flood or frame damage,No odometer problems
2022,Lexus,RX 350 F-Sport,40998,32000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,1 Owner,No flood or frame damage,No odometer problems
2022,Lexus,RX 350 ,43998,22000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,Black/Gray,1 Owner,No flood or frame damage,No odometer problems
2020,Lexus,UX 250h Luxury,30998,46000,41 city/38 hwy,4-cyl,Hybrid,All Wheel Drive,Automatic,Black/Black,2 Owners,No flood or frame damage,No odometer problems
2017,Lexus,RX 350 ,29998,62000,19 city/26 hwy,6-cyl,Gas,All Wheel Drive,Automatic,White/Tan,3 Owners,No flood or frame damage,No odometer problems
2021,Lexus,RX 450h ,41998,46000,31 city/28 hwy,6-cyl,Hybrid,All Wheel Drive,Automatic,White/Tan,1 Owner,No flood or frame damage,No odometer problems
2015,Lexus,NX 300h ,23998,59000,33 city/30 hwy,4-cyl,Hybrid,All Wheel Drive,Automatic,Black/Gray,2 Owners,No flood or frame damage,No odometer problems
2021,Lexus,GX 460 ,43998,25000,15 city/19 hwy,8-cyl,Gas,Four Wheel Drive,Automatic,Red/Tan,1 Owner,No flood or frame damage,No odometer problems
